month,ft_nchar_sum
2007-02-01,1914417
2013-03-01,3484971
2013-04-01,3337464
1988-11-01,1669826
1951-12-01,1452815
2003-11-01,2592674
1960-05-01,2221017
2008-01-01,2746329
1981-10-01,1656902
2013-05-01,3810776
1967-10-01,1064181
1988-10-01,1671196
2013-02-01,2962212
2013-11-01,3743014
1988-08-01,1719046
2015-08-01,3817817
2013-10-01,3366087
2014-07-01,3995856
2013-07-01,3950245
1950-03-01,1653198
2013-09-01,3456951
1999-02-01,2945571
2013-08-01,3770816
2004-06-01,2667062
1997-05-01,2199141
1978-11-01,1155100
1963-03-01,1333453
2013-01-01,3443496
2014-01-01,3830190
2015-09-01,3548235
2008-12-01,2942804
2006-01-01,2339804
2004-11-01,2661108
1995-03-01,2388588
2013-06-01,3264739
1995-07-01,2142253
2013-12-01,3644822
1984-04-01,1570814
1986-09-01,1703316
1991-08-01,1605440
2014-03-01,3716315
2014-04-01,3561120
1968-07-01,1092268
1989-04-01,1607781
2000-05-01,1876302
2014-05-01,3670876
1974-01-01,1070702
1996-07-01,2155507
1993-08-01,1604840
2014-02-01,3024800
1966-01-01,1404978
2015-11-01,3868774
2014-11-01,3505284
2019-08-01,2916641
1950-06-01,1720857
2014-10-01,3356946
2019-03-01,3201492
2012-08-01,3271028
1986-03-01,1786152
2014-09-01,3562840
1987-04-01,1723088
2014-08-01,3684146
2003-04-01,2673316
1959-07-01,2176355
1997-09-01,2117184
1983-04-01,1547122
2002-03-01,1917293
1953-09-01,1460783
1990-08-01,1576287
2008-08-01,2755171
2014-06-01,3497494
2016-08-01,3799533
1993-01-01,1512254
2014-12-01,3568207
2000-01-01,2036891
1973-08-01,1061771
2006-03-01,2796654
2015-03-01,3836200
2015-04-01,3621207
1957-07-01,2636880
2015-05-01,3672185
1987-10-01,1700134
2017-08-01,3335382
2015-02-01,2969777
2003-03-01,2350387
2017-06-01,3777782
2015-10-01,3339158
2015-07-01,3964380
1972-01-01,1086286
1956-11-01,2135544
2015-01-01,3662442
2015-06-01,3701557
1972-08-01,1009255
1985-12-01,1751776
2015-12-01,3742884
1980-07-01,1678801
2017-11-01,3820405
2012-03-01,4112636
1978-07-01,1186850
1949-12-01,1683452
1996-10-01,2040599
2012-04-01,3258295
1987-07-01,1807548
1990-06-01,1673335
2012-05-01,4094005
2002-05-01,1827198
2012-02-01,3831018
1957-01-01,2176956
1980-09-01,1581144
1950-10-01,1969894
2001-11-01,2146225
2019-02-01,2538497
1985-09-01,1723694
1997-07-01,2380410
1991-02-01,1338916
2017-09-01,3323075
1991-11-01,1580323
1980-08-01,1736888
1958-01-01,2284691
2018-03-01,3919227
1980-01-01,1661119
1999-05-01,2149431
1997-10-01,2211991
1980-06-01,1580933
1984-08-01,1522819
1980-12-01,509529
1989-03-01,1648424
1950-01-01,1587124
2001-07-01,2205368
2019-10-01,2653077
1985-08-01,1784114
1989-08-01,1705758
2001-09-01,2052089
,1596573
1985-01-01,1603202
2019-07-01,3085010
1991-12-01,1649429
1991-10-01,1548474
1950-12-01,1735389
1982-02-01,1477105
1993-10-01,1728787
1992-11-01,1634407
1977-07-01,1022525
1998-03-01,2216203
1968-03-01,967518
1985-06-01,1718241
1977-09-01,961294
1968-04-01,985489
1991-07-01,1678046
1996-12-01,2175934
1950-08-01,1811053
2019-11-01,3067051
2006-09-01,2819432
1968-05-01,1027769
1968-02-01,928752
2001-02-01,1864946
1968-11-01,1015767
1991-09-01,1536109
1968-10-01,1046811
2020-08-01,3224784
2012-11-01,3652082
2011-10-01,3151684
2011-12-01,3865479
1968-09-01,984175
2008-06-01,2730273
1952-08-01,1414653
1959-09-01,2694595
1968-08-01,1029272
1957-10-01,2092177
1968-01-01,951587
1968-06-01,1038273
1993-03-01,1632772
1968-12-01,1051541
1991-01-01,1639147
1957-03-01,2476920
1980-10-01,1639474
1950-07-01,1860443
1991-04-01,1582094
1982-08-01,1613589
1963-10-01,1274490
2001-08-01,2227751
1998-01-01,2000361
1980-05-01,1617067
1991-06-01,1657275
2000-11-01,2059545
1991-05-01,1628940
1954-06-01,1364501
1950-09-01,2169232
2001-04-01,2091843
2007-07-01,1865543
1996-03-01,2228934
1996-04-01,2125484
1996-05-01,2211426
2012-10-01,3376797
2000-12-01,2122986
1996-02-01,1737984
1970-11-01,992504
1951-10-01,1394941
1996-11-01,2143072
1959-08-01,2148956
1981-09-01,1687941
2019-04-01,2827890
1985-11-01,1721742
1997-02-01,1787396
1964-09-01,1482947
1965-10-01,1426329
2019-05-01,2885491
1995-05-01,2082000
1965-07-01,1460146
2012-07-01,4068247
1997-11-01,2232096
1965-09-01,1408728
1974-06-01,1070145
2017-02-01,3143836
2012-09-01,2939446
1981-08-01,1747162
1989-05-01,1630150
2017-10-01,3342640
1999-04-01,2247530
2004-10-01,2191527
2019-09-01,3970241
1989-02-01,1480960
1957-04-01,1795815
1974-10-01,1024781
1989-11-01,1679663
2004-09-01,2573976
2011-01-01,3445314
1957-05-01,1992875
1990-11-01,1564254
2008-10-01,2660644
1970-07-01,961670
1949-01-01,951792
1989-10-01,1647388
1957-02-01,1981564
1994-12-01,1796641
1989-07-01,1738462
1957-11-01,2202005
2020-07-01,3045345
2005-12-01,2603362
2016-04-01,3670140
1958-02-01,2526414
1994-08-01,1799395
1989-09-01,1598943
2006-06-01,2649895
2011-06-01,3690660
1992-03-01,1682483
2012-01-01,2936518
1976-09-01,1109239
1958-12-01,2241984
2012-06-01,3670220
2012-12-01,3545222
1988-03-01,1764717
1988-04-01,1676432
1979-12-01,1294333
1988-05-01,1680309
1952-06-01,1391642
1997-06-01,2100027
1963-01-01,1301251
2019-06-01,5056510
1988-02-01,1531639
1988-07-01,1730321
1988-09-01,1634893
1949-03-01,1047030
2003-09-01,2659624
2006-10-01,2284531
2020-06-01,4320724
1988-01-01,1698308
1948-06-01,496421
1972-03-01,1060453
1988-06-01,1660675
2000-02-01,1695378
1988-12-01,1739746
2007-03-01,2826387
1981-03-01,1673034
1999-12-01,2129063
1979-04-01,1306632
1981-04-01,1644895
1981-05-01,1636740
1995-08-01,2233455
1990-10-01,1533131
1981-02-01,1399355
1998-05-01,2204123
1981-11-01,1652343
2005-11-01,2583140
1981-07-01,1752089
1981-01-01,1647681
1981-06-01,1588362
2017-01-01,3228729
1994-01-01,1782535
1981-12-01,1707670
1975-03-01,1065024
2005-04-01,2591212
1975-04-01,944706
1975-05-01,1021296
1975-02-01,948769
1972-04-01,999393
1961-03-01,1918262
1975-11-01,1070482
1975-10-01,1031154
1975-07-01,1066505
2011-03-01,4279814
1975-09-01,945445
1975-08-01,1068605
2016-01-01,3852870
1975-01-01,1052984
1996-01-01,2128198
1975-06-01,1024413
1994-03-01,1814732
1986-06-01,1716969
1975-12-01,1057327
1956-10-01,2146965
1972-05-01,1058766
1959-12-01,2150104
1972-02-01,982243
1972-11-01,986901
1983-02-01,1357339
1978-04-01,1094362
2002-06-01,1998833
1972-10-01,1038074
1972-07-01,997680
1972-09-01,930483
2005-08-01,2784056
2018-04-01,3402143
1972-06-01,980893
1972-12-01,1033550
1977-04-01,893591
1951-11-01,1350906
1986-04-01,1765026
1949-04-01,1116358
2003-12-01,2816043
1986-05-01,1767051
1999-06-01,2198209
1973-09-01,970733
1967-06-01,1050045
1986-02-01,1491790
1979-06-01,1315495
1955-08-01,1453596
1986-11-01,1745382
1986-10-01,1684793
1986-07-01,1768996
1986-08-01,1757608
1986-01-01,1788665
1999-07-01,2283209
1986-12-01,1794800
1993-07-01,1625196
1987-03-01,1786947
1958-10-01,2149297
1948-12-01,849962
1951-09-01,1337186
1987-05-01,1695682
1987-11-01,1715547
1987-02-01,1590301
1995-09-01,2125245
1976-12-01,963271
1987-09-01,1690966
2002-08-01,2112982
1989-12-01,1784070
1987-08-01,1800230
1987-01-01,1581375
2007-09-01,2522037
1987-06-01,1696711
1957-09-01,2015391
2021-01-01,2961789
1987-12-01,1787156
1954-05-01,1391474
1973-03-01,1040029
1973-04-01,1010340
