month,n_headline
2013-03-01,177
2013-04-01,235
1951-12-01,340
2003-11-01,333
1960-05-01,253
2013-05-01,258
1988-10-01,318
2013-02-01,262
2013-11-01,214
2013-10-01,231
2013-07-01,296
2013-09-01,231
2013-08-01,268
2013-01-01,279
2013-06-01,217
2013-12-01,246
1991-08-01,431
2014-03-01,198
2014-04-01,258
2014-05-01,220
2014-02-01,225
2014-11-01,175
2014-10-01,216
2014-07-01,212
1986-03-01,343
2014-09-01,184
2014-08-01,239
2014-01-01,225
2002-03-01,254
1990-08-01,436
2014-06-01,251
2014-12-01,232
2006-03-01,267
2015-03-01,193
2015-04-01,234
1957-07-01,274
2015-05-01,218
2015-02-01,197
2015-11-01,195
2015-10-01,232
2015-07-01,219
2015-09-01,198
2015-08-01,254
2015-01-01,221
2015-06-01,249
2015-12-01,200
2012-03-01,203
2012-04-01,237
1987-07-01,343
1990-06-01,380
2012-05-01,243
2012-02-01,227
1980-09-01,331
1950-10-01,349
2001-11-01,297
2019-02-01,165
1985-09-01,292
1997-07-01,294
1991-02-01,418
1997-09-01,286
1991-11-01,501
1980-08-01,365
1980-01-01,361
1980-06-01,302
1980-12-01,132
1989-03-01,412
1980-07-01,323
1950-01-01,432
2001-07-01,250
1985-08-01,358
2019-10-01,203
2001-09-01,260
1950-06-01,317
1985-01-01,387
2019-07-01,204
1991-10-01,496
1950-12-01,277
1993-10-01,371
1998-03-01,285
1992-11-01,559
1977-07-01,134
1968-03-01,114
1985-06-01,347
1977-09-01,128
1968-04-01,116
1991-07-01,423
1950-08-01,344
2019-11-01,179
1968-05-01,100
1968-02-01,109
1968-11-01,106
1991-09-01,454
1968-10-01,95
2020-08-01,173
2012-11-01,196
1968-07-01,99
1968-09-01,101
1968-08-01,94
1968-01-01,101
1968-06-01,109
1968-12-01,120
1991-01-01,435
1957-03-01,321
1980-10-01,358
1950-07-01,374
1991-04-01,373
1991-06-01,401
1991-05-01,403
1991-12-01,482
1954-06-01,372
1950-09-01,314
2007-07-01,263
1996-03-01,282
1996-04-01,341
1996-05-01,306
2012-10-01,250
1996-02-01,326
1951-10-01,339
1996-11-01,301
1985-11-01,340
1997-02-01,250
2019-04-01,191
1965-10-01,228
2019-05-01,204
1965-07-01,244
2012-07-01,200
1997-11-01,283
1965-09-01,219
1989-04-01,389
2012-09-01,233
1989-05-01,366
2012-08-01,221
2019-09-01,171
1989-02-01,351
1957-04-01,297
1989-11-01,300
1957-05-01,323
1989-10-01,323
1957-02-01,330
1994-12-01,360
1989-07-01,310
1957-11-01,225
1957-10-01,254
1989-09-01,315
2012-01-01,236
2012-06-01,205
2012-12-01,267
1988-03-01,315
1988-04-01,312
1988-05-01,378
1988-02-01,342
1988-11-01,324
1988-07-01,367
1988-09-01,351
1988-08-01,360
1988-01-01,380
1948-06-01,321
1988-06-01,352
1988-12-01,342
1999-04-01,306
1981-03-01,304
1979-04-01,181
1981-04-01,335
1981-05-01,335
1981-02-01,312
1981-11-01,339
1981-10-01,328
1981-07-01,295
1981-09-01,330
1981-08-01,346
1981-01-01,410
1981-06-01,310
1981-12-01,298
1975-03-01,170
1975-04-01,152
1975-05-01,153
1975-02-01,144
1975-11-01,135
1975-10-01,137
1975-07-01,145
1975-09-01,128
1975-08-01,141
1975-01-01,147
1975-06-01,155
1975-12-01,131
1972-03-01,155
