month,n
2007-02-01,2272
2013-03-01,3288
2013-04-01,3469
1988-11-01,2735
1951-12-01,1083
2003-11-01,3365
1960-05-01,2140
2008-01-01,3166
1981-10-01,2559
2013-05-01,3921
1967-10-01,835
1988-10-01,2723
2013-02-01,2945
2013-11-01,3561
1988-08-01,2922
2015-08-01,3560
2013-10-01,3299
2014-07-01,3768
2013-07-01,3875
1950-03-01,1811
2013-09-01,3319
1999-02-01,4333
2013-08-01,3733
2004-06-01,3350
1997-05-01,3250
1978-11-01,1231
1963-03-01,1486
2013-01-01,3800
2014-01-01,3708
2015-09-01,3040
2008-12-01,2918
2006-01-01,2727
2004-11-01,3643
1995-03-01,3453
2013-06-01,3403
1995-07-01,3095
2013-12-01,3536
1984-04-01,2654
1986-09-01,2791
1991-08-01,2965
2014-03-01,3280
2014-04-01,3748
1968-07-01,809
1989-04-01,2407
2000-05-01,2457
2014-05-01,3627
1974-01-01,1090
1996-07-01,3348
1993-08-01,2932
2014-02-01,3126
1966-01-01,1200
2015-11-01,3460
2014-11-01,3334
2019-08-01,2012
1950-06-01,1809
2014-10-01,3177
2019-03-01,2267
2012-08-01,3091
1986-03-01,2816
2014-09-01,3399
1987-04-01,2618
2014-08-01,3660
2003-04-01,3522
1959-07-01,2102
1997-09-01,2946
1983-04-01,2615
2002-03-01,2465
1953-09-01,1112
1990-08-01,2755
2008-08-01,3299
2014-06-01,3442
2016-08-01,3573
1993-01-01,3124
2014-12-01,3462
2000-01-01,3453
1973-08-01,1320
2006-03-01,2914
2015-03-01,3277
2015-04-01,3502
1957-07-01,1927
2015-05-01,3551
1987-10-01,2486
2017-08-01,2960
2015-02-01,2808
2003-03-01,2901
2017-06-01,3602
2015-10-01,3095
2015-07-01,3668
1972-01-01,1112
1956-11-01,2427
2015-01-01,3575
2015-06-01,3413
1972-08-01,1475
1985-12-01,2755
2015-12-01,3427
1980-07-01,2351
2017-11-01,3396
2012-03-01,3655
1978-07-01,1097
1949-12-01,1808
1996-10-01,3234
2012-04-01,3091
1987-07-01,2719
1990-06-01,2588
2012-05-01,3896
2002-05-01,2399
2012-02-01,3582
1957-01-01,2663
1980-09-01,2034
1950-10-01,1740
2001-11-01,2777
2019-02-01,1876
1985-09-01,2658
1997-07-01,3323
1991-02-01,2404
2017-09-01,2808
1991-11-01,3017
1980-08-01,2513
1958-01-01,2350
2018-03-01,2966
1980-01-01,2261
1999-05-01,2759
1997-10-01,3249
1980-06-01,2437
1984-08-01,2642
1980-12-01,715
1989-03-01,2736
1950-01-01,1727
2001-07-01,2759
2019-10-01,2131
1985-08-01,2871
1989-08-01,2580
2001-09-01,2606
1985-01-01,2792
2019-07-01,2423
1991-12-01,2907
1991-10-01,2967
1950-12-01,1376
1982-02-01,2243
1993-10-01,3080
1992-11-01,3242
1977-07-01,1061
1998-03-01,2936
1968-03-01,848
1985-06-01,2848
1977-09-01,957
1968-04-01,880
1991-07-01,2838
1996-12-01,3217
1950-08-01,1787
2019-11-01,2400
2006-09-01,3161
1968-05-01,838
1968-02-01,759
2001-02-01,2593
1968-11-01,836
1991-09-01,2853
1968-10-01,823
2020-08-01,2394
2012-11-01,3215
2011-10-01,2915
2011-12-01,3607
1968-09-01,839
2008-06-01,2676
1952-08-01,1244
1959-09-01,2033
1968-08-01,795
1957-10-01,2287
1968-01-01,802
1968-06-01,874
1993-03-01,2952
1968-12-01,871
1991-01-01,2847
1957-03-01,2322
1980-10-01,2534
1950-07-01,2003
1991-04-01,2477
1982-08-01,2383
1963-10-01,1549
2001-08-01,2726
1998-01-01,3185
